pendidikan,sektor,periode,gaji,pendidikan_encoded,"sektor_A Pertanian, Kehutanan dan Perikanan",sektor_B Pertambangan dan Penggalian,sektor_C Industri Pengolahan,sektor_D Pengadaan Listrik dan Gas,"sektor_E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",sektor_F Konstruksi,"sektor_G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",sektor_H Transportasi dan Pergudangan,sektor_I Penyediaan Akomodasi dan Makan Minum,sektor_J Informasi dan Komunikasi,sektor_K Jasa Keuangan dan Asuransi,sektor_L Real Estate,"sektor_M,N Jasa Perusahaan","sektor_O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",sektor_P Jasa Pendidikan,sektor_Q Jasa Kesehatan dan Kegiatan Sosial,"sektor_R,S,T,U Jasa Lainnya",sektor_Total,periode_encoded
Tidak/Belum Tamat SD,F Konstruksi,Februari,2477481.11,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,F Konstruksi,Agustus,2606716.2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,1787051.1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,1876121.61,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,H Transportasi dan Pergudangan,Februari,1850857.33,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,H Transportasi dan Pergudangan,Agustus,2253391.06,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,I Penyediaan Akomodasi dan Makan Minum,Februari,1354058.68,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,I Penyediaan Akomodasi dan Makan Minum,Agustus,1637090.75,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,J Informasi dan Komunikasi,Februari,1945615.41,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,J Informasi dan Komunikasi,Agustus,1128495.76,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,L Real Estate,Februari,1700290.33,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,L Real Estate,Agustus,2450500.09,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,"M,N Jasa Perusahaan",Februari,1448479.94,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
Tidak/Belum Tamat SD,"M,N Jasa Perusahaan",Agustus,1591723.91,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
Tidak/Belum Tamat SD,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,1232370.12,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Tidak/Belum Tamat SD,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,1395455.41,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
Tidak/Belum Tamat SD,P Jasa Pendidikan,Februari,1516442.06,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
Tidak/Belum Tamat SD,P Jasa Pendidikan,Agustus,1094887.38,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Tidak/Belum Tamat SD,Q Jasa Kesehatan dan Kegiatan Sosial,Februari,1688042.2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
Tidak/Belum Tamat SD,Q Jasa Kesehatan dan Kegiatan Sosial,Agustus,1342859.69,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Tidak/Belum Tamat SD,"R,S,T,U Jasa Lainnya",Februari,1342859.69,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
Tidak/Belum Tamat SD,"R,S,T,U Jasa Lainnya",Agustus,1304532.14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Tidak/Belum Tamat SD,Total,Februari,1749210.28,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
